Coluna do Planner (origem);Coluna na nova planilha (destino);Transformação / Regra especial;Formato esperado
-;Nº;-;Número
-;COMPONENTE;-;Texto
-;SUBCOMPONENTE;-;Texto
Nome do Bucket;PRODUTO;-;Texto
Nome da tarefa;Ação;-;Texto
-;Responsabilidade;-;Texto
Atribuído a;Atribuído a;-;Texto
É Recorrente;A ação é recorrente;-;Texto
Progresso;Progresso;-;Texto
-;data/período planejado;"Concatenar separando com travessão os conteúdos correspondentes das colunas ""Data de início"" e ""Data de conclusão""";Data (dd/mm/yyyy)
Concluído em;Concluído em;-;Data (dd/mm/yyyy)
Concluída por;Concluída por;-;Texto
Prioridade;Prioridade;-;Texto
Itens da lista de verificação;Itens da lista de verificação;-;Texto
Itens concluídos da lista de verificação;Itens concluídos da lista de verificação;-;Texto
Descrição;Observação;-;Texto
